Product URL,Product Name,Product Price,Rating,Number of Reviews
/Chic-Buddy-Waterproof-Swimsuits-Toiletries/dp/B09KSBHC18,"Chic Buddy Waterproof Wet Bag, Washable, Reusable for Travel, Beach, Pool, Stroller, Diapers, Dirty Gym Clothes, Wet Swimsuits, Toiletries",₹299,4.4,386
/gp/bestsellers/shoes/1983352031/ref=sr_bs_7_1983352031_1,INOVERA (LABEL) Women Handbags Shoulder Hobo Bag Purse With Long Strap,"₹1,299",4.1,"8,317"
/Storite-Army-Print-Sling-GreenGrey/dp/B09KNMWWPH,"Storite Small Size Army Print Padded Nylon Cross Body Sling bag Office Travel One Side Bag for Men Women (25x19x7cm, GreenGrey)",₹395,4.1,482
/Derben-Fabric-Leather-Laptop-Messenger/dp/B08TVL3MWJ,"DERBEN CLOVE® 15.6 Men and Women Laptop, MacBook Shoulder Messenger Sling Office Bag - Grey",₹899,4.1,157
/Wildcraft-Green-Casual-Backpack-11650-Green/dp/B079DV66TY,Wildcraft 29.5 Ltrs Green Casual Backpack (11650-Green),"₹1,038",4.1,393
/TAGUDA-foldable-portable-lightweight-organizer/dp/B0B8CSC4F1,TAGUDA travel foldable portable lightweight luggage storage duffle tote hand organizer easy carry bags backpack set for men women travel luggage (Mint Green Travel bag),₹299,3.5,86
/FATMUG-Laptop-Bag-Men-Convertible/dp/B084LFS4G1,FATMUG Laptop Bag For Men - Convertible Backpack For Office And Travel (Navy Blue Oxford Fabric),"₹1,599",4.4,"2,185"
/Wildcraft-Turnaround-Polyester-Laptop-8903338054702/dp/B012D51GXO,Wildcraft Turnaround Polyester 35 Ltrs Blue Laptop Bag (8903338054702),"₹1,840.10",4.3,"1,208"
/Tabelito%C2%AE-Delta-Waterproof-Backpack-Compatible/dp/B0BLK1Z7DQ,"Tabelito® DELTA Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack (Compatible with 15.6 inch Laptop) 30 L, (6 Month Warranty)",₹599,4.5,192
/Capriff-Liters-Collage-travell-Backpack/dp/B084T7X2HX,CAPRIFF 32 L Casual Waterproof Laptop Bag/Backpack for Men Boys & Girls For Office School College Teens & Students with Rain Cover With adjustable Strap With 2 Compartment,₹539,3.8,"3,104"
